% Model:              Real life PV cells 2D moisture ingress for different materials_YB.mph
% Version:            COMSOL 6.2.0.290
% Date:               Apr 22 2024, 12:28
% Dimension:          1
% Nodes:              87601
% Expressions:        1
% Description:        Point graph
% Time (h)                c*(18/10^3)[kg/mol]/ST_EVA_YB(TMit(ampr1.T_amb,T_GHI(t),ampr1.v_amb))
0                         -1.0265784659464965E-90
2                         2.9579364189133285E-86
4                         -2.0642359883150206E-88
6                         -1.1078725151251905E-89
8                         4.559033389266247E-91
10                        -2.128730126779937E-91
12                        2.528065899282845E-92
14                        -2.764313607509878E-94
16                        -1.6945799192256678E-93
18                        4.917263543429341E-94
20                        9.391139952735835E-95
22                        9.908831434256001E-95
24                        2.166463297547081E-94
26                        3.4315179339088714E-94
28                        5.499516064312648E-94
30                        8.838770882206923E-94
32                        1.4188297022939148E-93
34                        2.2918535716597114E-93
36                        3.769723834313673E-93
38                        6.538006519821015E-93
40                        1.1608473165912071E-92
42                        1.9708918021540513E-92
44                        3.236696799355682E-92
46                        5.252359371379216E-92
48                        8.512421911737447E-92
50                        1.4072143693533445E-91
52                        2.5155824200483335E-91
54                        5.431585465135543E-91
56                        1.5297354386960256E-90
58                        9.041041754057678E-90
60                        8.880808855593472E-89
62                        8.894400094720954E-88
64                        5.80273425479954E-87
66                        2.9617438150137246E-86
68                        1.295680174215684E-85
70                        5.352829580881055E-85
72                        2.114196747975088E-84
74                        8.0569080156042335E-84
76                        2.9779622450224793E-83
78                        1.0751181789982673E-82
80                        3.7407987531906985E-82
82                        1.4358945440131177E-81
84                        6.413040517907873E-81
86                        3.0500685003653815E-80
88                        1.303965867506718E-79
90                        4.994381674959813E-79
92                        6.959484979800978E-78
94                        6.769425230418E-77
96                        5.14118012411194E-76
98                        1.6497337913741983E-75
100                       4.672872733424236E-75
102                       1.2905079687225979E-74
104                       3.479833918077322E-74
106                       1.0299518391695239E-73
108                       3.455362964348471E-73
110                       6.301247506903101E-72
112                       4.43905544101926E-71
114                       2.3513349871719292E-70
116                       1.0639925049527412E-69
118                       4.403038678042747E-69
120                       1.6976049689217586E-68
122                       4.318089366271592E-68
124                       1.004609837382182E-67
126                       3.3333972040194824E-67
128                       1.1282369017319318E-66
130                       5.301013487811245E-66
132                       3.1601239351033175E-65
134                       1.7655856006681245E-64
136                       6.763043955186838E-64
138                       1.690011935548998E-63
140                       4.97727500662735E-63
142                       1.4419332475763447E-62
144                       4.01257261266885E-62
146                       8.691324731534874E-62
148                       1.7609004346435554E-61
