% Model:              Real life PV cells 2D moisture ingress for different materials_YB.mph
% Version:            COMSOL 6.2.0.290
% Date:               Apr 22 2024, 22:49
% Dimension:          1
% Nodes:              87601
% Expressions:        1
% Description:        Point graph
% Time (h)                c*(18/10^3)[kg/mol]/ST_EVA_YB(TMit(ampr1.T_amb,T_GHI(t),ampr1.v_amb))
0                         -2.018830989137961E-90
2                         2.642847664190763E-91
4                         -1.0983781895572847E-94
6                         -1.2565732713471001E-95
8                         8.326124183950771E-92
10                        2.6860482289351985E-78
12                        6.008269646269903E-63
14                        3.0375115703989386E-59
16                        1.6370347542298187E-57
18                        1.6853065027781872E-56
20                        8.429487695256863E-56
22                        2.8035145137682004E-52
24                        7.387906715246317E-51
26                        9.882518434406325E-50
28                        4.174667130837187E-49
30                        1.3829653483476456E-48
32                        4.0814986742248043E-48
34                        2.0657611666062512E-47
36                        8.521721014920059E-46
38                        8.886908139545215E-44
40                        1.7491362210318722E-42
42                        9.649680846026495E-42
44                        2.963757474164956E-41
46                        9.086637122990527E-41
48                        5.680739376214143E-40
50                        2.737807243713237E-39
52                        1.1144567056019561E-38
54                        4.0570363258795357E-38
56                        1.0463717509146901E-37
58                        2.873279371734743E-37
60                        6.299147033384919E-36
62                        1.142159040533947E-34
64                        7.488180216959394E-34
66                        2.7377028399242697E-33
68                        6.51011293064039E-33
70                        1.7489107950166684E-32
72                        4.5376702106436653E-32
74                        1.0970953816736876E-31
76                        2.500924225338546E-31
78                        5.555773540100474E-31
80                        1.041266604224113E-30
82                        2.3922112125508663E-30
84                        1.1571575113037756E-29
86                        7.930881042450104E-29
88                        3.4923576087755157E-28
90                        1.0871466485659299E-27
92                        2.1783694606187347E-27
94                        4.231709023227798E-27
96                        8.046347499385813E-27
98                        1.4801279888203166E-26
100                       2.627799642606543E-26
102                       4.5654767962606303E-26
104                       7.151581586855513E-26
106                       1.1216663065377608E-25
108                       3.0270645527162093E-25
110                       1.1679631927522152E-24
112                       3.549110492284928E-24
114                       7.973949400740987E-24
116                       1.3215886434532243E-23
118                       2.1621827844070698E-23
120                       3.476105635732851E-23
122                       5.447284645273447E-23
124                       8.333006626200646E-23
126                       1.2574151843962378E-22
128                       1.7669753467256055E-22
130                       2.352521489651026E-22
132                       4.828462271319868E-22
134                       1.225840643121882E-21
136                       2.858757028914823E-21
138                       5.6159351394427984E-21
140                       8.827062770248423E-21
142                       1.2682836727670563E-20
144                       1.8224448042220283E-20
146                       2.5724808724805716E-20
148                       3.5683234479377867E-20
150                       4.8346723525557797E-20
152                       6.215868360354481E-20
154                       7.45369906594288E-20
156                       1.3204102763558423E-19
158                       2.7460018438514417E-19
160                       5.31369879286245E-19
162                       9.443739376711405E-19
164                       1.3940735200785396E-18
166                       1.8645324600566993E-18
168                       2.479804277600105E-18
