% Model:              Real life PV cells 2D moisture ingress for different materials_YB.mph
% Version:            COMSOL 6.2.0.290
% Date:               Apr 22 2024, 17:16
% Dimension:          1
% Nodes:              87601
% Expressions:        1
% Description:        Point graph
% Time (h)                c*(18/10^3)[kg/mol]/ST_EVA_YB(TMit(ampr1.T_amb,T_GHI(t),ampr1.v_amb))
0                         -1.211858839228064E-90
2                         1.3412166667658214E-87
4                         1.871942725273535E-90
6                         1.4743326230021722E-92
8                         -5.846158296926853E-93
10                        9.971575896901116E-94
12                        9.527199662907673E-92
14                        3.0412558441871445E-88
16                        5.868009828182916E-87
18                        3.563988602722493E-86
20                        1.467569036035491E-85
22                        7.982053446604596E-85
24                        4.57376236275395E-84
26                        2.3389105844428533E-83
28                        1.1231933369363061E-82
30                        5.1320452870580984E-82
32                        2.77006709882693E-81
34                        7.60796777110054E-80
36                        1.1843481892943857E-72
38                        7.287418134846114E-72
40                        2.798430076602817E-71
42                        8.36227109123418E-71
44                        6.107318765410878E-70
46                        3.8297716438127214E-69
48                        2.1323958849952352E-68
50                        6.37490516313644E-68
52                        1.6542466228106705E-67
54                        4.1019990209103125E-67
56                        1.0546021307745302E-66
58                        4.844743430298642E-66
60                        4.316467080596617E-65
62                        3.1881399081622334E-64
64                        1.5766049700045677E-63
66                        5.416199289215839E-63
68                        1.44452053846986E-62
70                        3.6076044483742977E-62
72                        1.791407871680933E-61
74                        7.901760196334028E-61
76                        3.163826658268651E-60
78                        7.80619306443185E-60
80                        1.8250196933555691E-59
82                        5.388217288481211E-59
84                        2.4965062162713234E-58
86                        1.5454215316015507E-57
88                        6.931386503603604E-57
90                        2.3651042080776173E-56
92                        7.102661724184139E-56
94                        2.7518531984949823E-55
96                        9.678219417848471E-55
98                        3.1319505500148164E-54
100                       9.485814358274084E-54
102                       2.722189214411836E-53
104                       6.083736744082656E-53
106                       1.52398345702745E-52
108                       5.14978683054204E-52
110                       2.820059996797313E-51
112                       1.0479112768838988E-50
114                       2.663906523721263E-50
116                       5.768265242573877E-50
118                       1.4695194630820467E-49
120                       3.961435962141166E-49
122                       1.00816884779833E-48
124                       2.445077641662703E-48
126                       5.700589318668035E-48
128                       1.1121086882245755E-47
130                       2.0495381925694858E-47
132                       5.645485532235839E-47
134                       4.193693125136262E-46
136                       1.7602161461752287E-45
138                       4.648171339700332E-45
140                       9.201971809190308E-45
142                       1.898254875724793E-44
144                       4.110425750218764E-44
146                       8.560296118230601E-44
148                       1.7220980137332993E-43
150                       3.3683513828555386E-43
152                       6.4525742051992716E-43
154                       1.1229359291650127E-42
156                       2.2956477778688128E-42
158                       5.7176423729379523E-42
160                       1.4242084481336637E-41
162                       3.1526269878604745E-41
164                       5.774326498282099E-41
166                       1.0938717099960938E-40
168                       2.082517132640743E-40
170                       3.847521783693834E-40
172                       6.920624310666768E-40
174                       1.216867932224279E-39
176                       2.1102706129252426E-39
178                       3.330609514596317E-39
180                       5.48069905959352E-39
182                       9.989962439840897E-39
184                       1.8660472743072E-38
186                       3.318377922236374E-38
188                       5.80154318202577E-38
190                       1.0111154172521777E-37
192                       1.7477218419665549E-37
194                       2.9517696752007594E-37
196                       4.882790490219909E-37
198                       7.925094440848435E-37
200                       1.2093035416629346E-36
202                       1.7755015851466546E-36
204                       2.7083959820118148E-36
206                       4.065944565539058E-36
208                       8.585236480237739E-36
210                       1.6582172129776154E-35
212                       2.6420556732996095E-35
214                       4.3218620839240145E-35
216                       6.919466164472175E-35
218                       1.0874477393025604E-34
220                       1.6799365000816075E-34
222                       2.5538013465359954E-34
224                       3.7148378493074046E-34
226                       5.14422142293886E-34
228                       7.505912620320038E-34
230                       1.0638017085748638E-33
232                       2.134300246694858E-33
234                       3.8255410028564466E-33
236                       5.743809503368214E-33
238                       8.661108108357284E-33
240                       1.305040704343565E-32
