% Model:              Real life PV cells 2D moisture ingress for different materials_YB.mph
% Version:            COMSOL 6.2.0.290
% Date:               Apr 23 2024, 07:36
% Dimension:          1
% Nodes:              87601
% Expressions:        1
% Description:        Point graph
% Time (h)                c*(18/10^3)[kg/mol]/ST_EVA_YB(TMit(ampr1.T_amb,T_GHI(t),ampr1.v_amb))
0                         -8.641746211070852E-91
2                         5.862286763447663E-87
4                         -4.353286925605405E-89
6                         -4.410600488672124E-90
8                         2.0002611653281236E-90
10                        -1.0331747205191975E-91
12                        5.1615825984502255E-93
14                        -2.6578793296051906E-94
16                        1.494449187043424E-94
18                        1.9130808307204996E-94
20                        3.5419341904045653E-94
22                        6.310700009745058E-94
24                        1.101039734394143E-93
26                        1.88744997629465E-93
28                        3.1882746654912856E-93
30                        5.340151398012543E-93
32                        2.9194263730400047E-91
34                        9.580142371526795E-86
36                        2.8425267323814138E-81
38                        4.3521985375179795E-80
40                        2.701908176481633E-79
42                        9.225829814687389E-79
44                        3.966573060551975E-78
46                        1.5541096456445913E-77
48                        5.696955740949841E-77
50                        1.9792013669244306E-76
52                        4.8938072926491264E-76
54                        1.0986407101513125E-75
56                        3.2237900438384654E-75
58                        2.8359926704144787E-74
60                        1.3209459030580295E-72
62                        8.835571122164609E-72
64                        3.4283660096215714E-71
66                        1.0102053956617405E-70
68                        2.3551970316919525E-70
70                        5.217549640663267E-70
72                        1.6546415304437553E-69
74                        4.988750037463301E-69
76                        1.438717485016838E-68
78                        3.1027028605293696E-68
80                        6.998631422982198E-68
82                        3.659133111392348E-67
84                        6.18635173062617E-66
86                        4.04970263611653E-65
88                        1.3660681962794704E-64
90                        3.150380047562635E-64
92                        8.755377736176608E-64
94                        2.4670004984839855E-63
96                        6.598125741905149E-63
98                        1.6902226996197858E-62
100                       3.5877299149920327E-62
102                       6.9839238642400195E-62
104                       1.4603270368952625E-61
106                       3.89832629362018E-61
108                       1.6857061091071667E-60
110                       7.175138432011225E-60
112                       2.338607148976399E-59
114                       5.737753886831604E-59
116                       1.1711931695660255E-58
118                       2.2718131957255006E-58
120                       5.2755978287291274E-58
122                       1.2086028574366893E-57
124                       2.674876941813684E-57
126                       5.859159411333697E-57
128                       1.7124903932005696E-56
130                       5.142989961196969E-56
132                       2.6587483602032808E-55
134                       9.048710318848952E-55
136                       2.727790856898136E-54
138                       6.763232766107805E-54
140                       1.5145106333902577E-53
142                       3.2096450045119353E-53
144                       6.570435117821601E-53
146                       1.3052125157771627E-52
148                       2.3090445778731494E-52
150                       3.88100044043935E-52
152                       6.897502660341909E-52
154                       1.3971945747154732E-51
156                       3.766409643162615E-51
158                       1.2977933422266002E-50
160                       4.0066597898701326E-50
162                       8.491988338634229E-50
164                       1.5854851476344353E-49
166                       3.046160200398662E-49
168                       5.682499047919547E-49
170                       1.0328235314997816E-48
172                       1.8348371506660204E-48
174                       3.2239670435840484E-48
176                       6.314745045718588E-48
178                       1.2160688633929568E-47
180                       1.563172448941608E-46
182                       4.906793963498411E-46
184                       1.2330405401940204E-45
186                       2.4588887352327167E-45
188                       4.023990595561266E-45
190                       6.654369353963977E-45
192                       1.0865729030948293E-44
194                       1.7416477346781734E-44
196                       2.750701768879134E-44
198                       4.3163647470317253E-44
200                       7.017900903499221E-44
202                       1.3268202163563433E-43
204                       2.6143895652933604E-43
206                       7.503013969296346E-43
208                       1.7630295631203677E-42
210                       3.261302207171367E-42
212                       5.1137617462109466E-42
214                       8.005656354455729E-42
216                       1.231717992748149E-41
218                       1.863816153101253E-41
220                       2.7803633418034656E-41
222                       4.1095018352974263E-41
224                       6.295070048805487E-41
226                       1.023480954950851E-40
228                       1.9935248564619352E-40
230                       3.960468333196177E-40
232                       7.229169495402954E-40
234                       1.2145738901622338E-39
236                       1.8120729282492814E-39
238                       2.6991603742963895E-39
240                       3.960412015761617E-39
242                       5.724247454493036E-39
244                       8.178573504977167E-39
246                       1.1591661216435107E-38
248                       1.6223732871134032E-38
250                       2.1592505520259538E-38
252                       3.888787819130507E-38
254                       6.859332968952379E-38
256                       1.268778827904643E-37
258                       2.1201042787824694E-37
260                       2.99437908727528E-37
262                       4.250212893118527E-37
264                       5.994566013757917E-37
266                       8.338264181351987E-37
268                       1.1470949542812424E-36
270                       1.563802830140155E-36
272                       2.1633769676975372E-36
274                       2.915688805211388E-36
276                       4.392885423116628E-36
278                       6.848717626767525E-36
280                       1.0938087751963072E-35
282                       1.634828068382177E-35
284                       2.3072418200495197E-35
286                       3.176915260297546E-35
288                       4.32606883176625E-35
290                       5.81802894552837E-35
292                       7.720682503597865E-35
294                       9.965323414035976E-35
296                       1.249555761748035E-34
298                       1.4558314256692337E-34
300                       2.315329439298085E-34
302                       3.902521263641126E-34
304                       6.377687615061486E-34
306                       9.493860990565934E-34
308                       1.2873617446182255E-33
310                       1.7193023853606356E-33
312                       2.2750657025387756E-33
314                       2.975232471513071E-33
316                       3.847816496050537E-33
318                       4.937425795436101E-33
320                       6.076739604983749E-33
322                       7.27153113710327E-33
324                       1.1989562695594207E-32
326                       2.1340976701301748E-32
328                       3.7313249281039354E-32
330                       5.764420167485799E-32
332                       7.478993736919053E-32
334                       9.66650303229663E-32
336                       1.2414658315247298E-31
338                       1.5776129476800864E-31
340                       1.98350679006347E-31
342                       2.4791565797076206E-31
344                       3.0999453563840816E-31
346                       3.7776422572849617E-31
348                       4.840929615501277E-31
350                       6.477565531393749E-31
352                       8.871867036167796E-31
354                       1.1737245820813941E-30
356                       1.5178861177951677E-30
358                       1.9225685179147344E-30
360                       2.4192900895470912E-30
362                       3.0125622087018698E-30
364                       3.714345459782865E-30
366                       4.498214264678942E-30
368                       5.3938676005722046E-30
370                       6.2337130358813386E-30
372                       7.564491848426492E-30
374                       8.185053799870756E-30
376                       1.294419921226949E-29
378                       1.866573412913607E-29
380                       2.3499870716720645E-29
382                       2.920357249982275E-29
384                       3.606244869123553E-29
386                       4.420540639122594E-29
388                       5.383507277432504E-29
390                       6.509777027722918E-29
392                       7.740017416028274E-29
394                       9.018368843243647E-29
396                       1.050700250731656E-28
398                       1.422014710891686E-28
400                       2.300211537410629E-28
402                       3.3678532686795787E-28
404                       4.164383397072325E-28
406                       5.084780715304786E-28
408                       6.165673801176639E-28
410                       7.42249447369764E-28
412                       8.893732670707815E-28
414                       1.0581805150124536E-27
416                       1.2545250639882076E-27
418                       1.2885715326535865E-27
420                       1.5035424823847766E-27
422                       2.572021038068217E-27
424                       3.357868031391925E-27
426                       4.182578809806695E-27
428                       5.1218926891141524E-27
430                       6.155190469791319E-27
432                       7.36302509988746E-27
434                       8.763974769767257E-27
436                       1.034957953687874E-26
438                       1.2061410506736289E-26
440                       1.380219411938827E-26
442                       1.4646672682448155E-26
444                       1.747711701433766E-26
446                       2.2785822605147426E-26
448                       3.285585553475152E-26
450                       4.5727905780762825E-26
452                       5.514258866227768E-26
454                       6.553700054726783E-26
456                       7.74105601716475E-26
458                       9.101304982292939E-26
460                       1.0647221718900606E-25
462                       1.2382240219153631E-25
464                       1.3874279793148521E-25
466                       1.4358286730852876E-25
468                       1.8555952899476754E-25
470                       2.068844489387056E-25
472                       2.9191140379706424E-25
474                       3.8187481868947404E-25
476                       4.553774870377862E-25
478                       5.354052165727259E-25
480                       6.257048345225382E-25
482                       7.279550172178225E-25
484                       8.428550109999789E-25
486                       9.686968522885043E-25
488                       1.093965371560591E-24
490                       1.1677382390663751E-24
492                       1.2917468292361447E-24
494                       1.7305371781900855E-24
496                       2.2282318107523227E-24
498                       2.7412038832883406E-24
500                       3.2453373278867065E-24
502                       3.760166214862733E-24
504                       4.3481578613025085E-24
506                       5.0104204957573236E-24
508                       5.7417388582925976E-24
510                       6.535428069574833E-24
512                       7.349617674422761E-24
514                       7.97166373112791E-24
516                       8.862460090374509E-24
518                       1.0652873357164289E-23
520                       1.4352123993269357E-23
522                       1.7834326484560666E-23
524                       2.0920332272149302E-23
526                       2.4090930486204888E-23
528                       2.7623872641862527E-23
530                       3.154724027389887E-23
532                       3.587282052215263E-23
534                       4.0493547767358337E-23
536                       4.448018954310293E-23
538                       4.377664707672759E-23
540                       4.973056970465363E-23
542                       6.398647663827895E-23
544                       9.125821568448331E-23
546                       1.1923558378488086E-22
548                       1.3833156015896161E-22
550                       1.5799696644560847E-22
552                       1.7954122703056993E-22
554                       2.0324924386341158E-22
556                       2.2913305658236603E-22
558                       2.5552199271073E-22
560                       2.8249451554624994E-22
562                       2.826265410203156E-22
564                       2.9846978499065083E-22
566                       3.782265259477274E-22
568                       4.737497164805428E-22
570                       5.801973752769518E-22
572                       6.685966255967635E-22
574                       7.568410999930675E-22
576                       8.53897788993492E-22
578                       9.598554585257567E-22
580                       1.0748308090873077E-21
582                       1.1909370233911714E-21
584                       1.2972093474102963E-21
586                       1.303659705974733E-21
588                       1.3379534281198513E-21
590                       1.6590583135160893E-21
592                       2.227713052608892E-21
594                       2.5907107372660647E-21
596                       2.967912559359428E-21
598                       3.342058650259342E-21
600                       3.745478402270115E-21
602                       4.183088616633223E-21
604                       4.6547989142159336E-21
606                       5.129487574013988E-21
608                       5.487727087006094E-21
610                       5.3036871479715335E-21
612                       5.7374246421749185E-21
614                       6.803421579924842E-21
616                       8.762798904709654E-21
618                       1.1194984700844554E-20
620                       1.271704087535152E-20
622                       1.4227163353864335E-20
624                       1.5844605422949926E-20
626                       1.7586498349274937E-20
628                       1.9444835159577978E-20
630                       2.1346059126052117E-20
632                       2.2993569899279678E-20
634                       2.2795176825364323E-20
636                       2.4460023065707523E-20
638                       2.887861265870871E-20
640                       3.6320744416204517E-20
642                       4.4393375767877196E-20
644                       5.016684755275676E-20
646                       5.567121642156159E-20
648                       6.163570034736081E-20
650                       6.801744410097008E-20
652                       7.481108096524844E-20
654                       8.169342604744334E-20
656                       8.682668303707417E-20
658                       8.736738675876894E-20
660                       9.473256775946796E-20
662                       1.0958943880492248E-19
664                       1.2982656184505953E-19
666                       1.5861855092893512E-19
668                       1.7848131011144462E-19
670                       1.9724008288245563E-19
672                       2.1723775986804133E-19
674                       2.384815781289582E-19
676                       2.609927988360287E-19
678                       2.8295757591591477E-19
680                       3.0026226302181747E-19
682                       2.7576350138854225E-19
684                       2.8901620233403167E-19
686                       3.6635862926069423E-19
688                       4.676510011035879E-19
