#  Printing Reflectance, Absorptance by layers and Transmittance (input statement at line 58)
#  Simulation date:
#    Mon Jul 10 14:26:27 2023
# Reflectance, Absorptance by layers and Transmittance
# Wavelenght [m]	Reflectance, Absorptance for each layer, Transmittance [] 
#  lambda	Reflectance	Layer  0	Layer  1	Layer  2	Layer  3	Layer  4	Layer  5	Layer  6	Transmittance	Sum
3.000000e-007	2.228376e-001	0.000000e+000	6.165601e-001	2.500832e-002	1.355953e-001	1.695691e-009	3.957966e-010	4.263265e-009	2.283788e-014	1.000001e+000
3.050000e-007	2.055235e-001	0.000000e+000	6.152847e-001	3.146683e-002	1.477244e-001	4.795932e-010	1.115000e-010	1.314843e-009	7.033749e-014	9.999994e-001
3.100000e-007	1.835505e-001	0.000000e+000	6.156542e-001	3.879715e-002	1.619965e-001	1.459686e-010	3.336212e-011	4.355841e-010	2.132805e-013	9.999984e-001
3.150000e-007	1.568246e-001	0.000000e+000	6.167736e-001	4.903069e-002	1.773710e-001	5.450374e-011	1.112650e-011	1.499871e-010	3.522453e-013	9.999998e-001
3.200000e-007	1.274580e-001	0.000000e+000	6.164184e-001	6.056993e-002	1.955535e-001	2.417122e-011	4.282449e-012	5.900406e-011	6.243159e-013	9.999998e-001
3.250000e-007	9.782941e-002	0.000000e+000	6.140969e-001	7.169066e-002	2.163829e-001	1.458880e-011	1.936849e-012	2.147772e-011	4.192514e-014	9.999999e-001
3.300000e-007	6.927271e-002	0.000000e+000	6.066967e-001	8.385828e-002	2.401720e-001	1.077571e-011	1.029549e-012	6.839741e-012	4.898297e-015	9.999998e-001
3.350000e-007	4.347664e-002	0.000000e+000	5.953601e-001	9.638048e-002	2.647826e-001	8.389100e-012	5.546412e-013	3.701722e-012	9.020267e-016	9.999999e-001
3.400000e-007	2.311206e-002	0.000000e+000	5.758641e-001	1.093630e-001	2.916609e-001	9.238461e-012	3.959924e-013	2.641465e-012	2.373787e-016	1.000000e+000
3.450000e-007	1.015583e-002	0.000000e+000	5.489981e-001	1.250656e-001	3.157808e-001	1.360342e-011	4.105220e-013	3.371564e-012	1.173478e-016	1.000000e+000
3.500000e-007	4.801214e-003	0.000000e+000	5.153322e-001	1.408539e-001	3.390132e-001	2.022456e-011	3.738262e-013	4.295782e-012	5.953199e-017	1.000001e+000
3.550000e-007	7.346825e-003	0.000000e+000	4.753831e-001	1.584103e-001	3.588605e-001	3.812601e-011	4.833904e-013	7.769135e-012	5.497426e-017	1.000001e+000
3.600000e-007	1.579709e-002	0.000000e+000	4.311365e-001	1.755299e-001	3.775375e-001	9.302792e-011	5.629281e-013	1.813934e-011	6.772062e-017	1.000001e+000
3.650000e-007	2.770221e-002	0.000000e+000	3.866287e-001	1.926487e-001	3.930210e-001	2.346929e-010	9.246112e-013	4.627132e-011	1.055123e-016	1.000001e+000
3.700000e-007	4.151225e-002	0.000000e+000	3.420430e-001	2.094686e-001	4.069761e-001	6.327013e-010	7.762293e-013	1.267335e-010	1.820174e-016	9.999999e-001
3.750000e-007	5.354075e-002	0.000000e+000	3.009894e-001	2.243901e-001	4.210800e-001	1.785962e-009	2.498274e-012	3.528587e-010	3.423344e-016	1.000000e+000
3.800000e-007	6.434392e-002	0.000000e+000	2.619169e-001	2.396070e-001	4.341327e-001	4.795982e-009	7.717546e-012	9.302490e-010	6.261428e-016	1.000000e+000
3.850000e-007	6.959360e-002	0.000000e+000	2.282869e-001	2.489136e-001	4.532070e-001	1.252748e-008	2.247320e-011	2.574610e-009	1.190690e-015	1.000001e+000
3.900000e-007	7.243545e-002	0.000000e+000	1.967613e-001	2.584229e-001	4.723811e-001	2.953665e-008	5.927013e-011	6.462752e-009	2.073389e-015	1.000001e+000
3.950000e-007	6.839726e-002	0.000000e+000	1.704563e-001	2.538842e-001	5.072630e-001	6.677042e-008	1.446866e-010	1.529668e-008	3.416143e-015	1.000001e+000
4.000000e-007	6.217780e-002	0.000000e+000	1.454782e-001	2.474967e-001	5.448477e-001	1.347456e-007	3.152167e-010	3.237268e-008	5.074629e-015	1.000001e+000
4.050000e-007	5.215255e-002	0.000000e+000	1.257274e-001	2.134672e-001	6.086551e-001	2.597984e-007	6.390121e-010	6.382241e-008	7.094339e-015	1.000003e+000
4.100000e-007	4.191417e-002	0.000000e+000	1.063976e-001	1.709297e-001	6.807605e-001	4.526615e-007	1.169287e-009	1.137523e-007	9.036414e-015	1.000003e+000
4.150000e-007	4.231230e-002	0.000000e+000	9.086761e-002	1.080065e-001	7.588147e-001	7.337386e-007	1.957070e-009	1.778565e-007	1.126386e-014	1.000002e+000
4.200000e-007	4.811937e-002	0.000000e+000	7.519847e-002	3.567669e-002	8.410064e-001	1.093546e-006	3.007492e-009	2.553020e-007	1.298837e-014	1.000002e+000
4.250000e-007	5.999338e-002	0.000000e+000	6.181730e-002	2.953873e-002	8.486512e-001	1.408618e-006	3.956789e-009	3.068541e-007	1.329796e-014	1.000002e+000
