#  Printing Current voltage data (input statement at line 80)
#  Simulation date:
#    Mon Jul 10 14:24:23 2023
# Current voltage data
# Bias voltage [V] 	Current density [A/m^2] 
# Current 	 density
0.000000e+000	-1.937173e+002
1.430000e-002	-1.936687e+002
2.860000e-002	-1.936193e+002
4.290000e-002	-1.935692e+002
5.720000e-002	-1.935184e+002
7.150000e-002	-1.934668e+002
8.580000e-002	-1.934145e+002
1.001000e-001	-1.933614e+002
1.144000e-001	-1.933075e+002
1.287000e-001	-1.932528e+002
1.430000e-001	-1.931972e+002
1.573000e-001	-1.931408e+002
1.716000e-001	-1.930836e+002
1.859000e-001	-1.930254e+002
2.002000e-001	-1.929664e+002
2.145000e-001	-1.929064e+002
2.288000e-001	-1.928455e+002
2.431000e-001	-1.927836e+002
2.574000e-001	-1.927207e+002
2.717000e-001	-1.926568e+002
2.860000e-001	-1.925919e+002
3.003000e-001	-1.925259e+002
3.146000e-001	-1.924589e+002
3.289000e-001	-1.923907e+002
3.432000e-001	-1.923214e+002
3.575000e-001	-1.922509e+002
3.718000e-001	-1.921792e+002
3.861000e-001	-1.921063e+002
4.004000e-001	-1.920322e+002
4.147000e-001	-1.919567e+002
4.290000e-001	-1.918800e+002
4.433000e-001	-1.918018e+002
4.576000e-001	-1.917223e+002
4.719000e-001	-1.916413e+002
4.862000e-001	-1.915588e+002
5.005000e-001	-1.914748e+002
5.148000e-001	-1.913892e+002
5.291000e-001	-1.913020e+002
5.434000e-001	-1.912131e+002
5.577000e-001	-1.911225e+002
5.720000e-001	-1.910301e+002
5.863000e-001	-1.909359e+002
6.006000e-001	-1.908397e+002
6.149000e-001	-1.907415e+002
6.292000e-001	-1.906413e+002
6.435000e-001	-1.905390e+002
6.578000e-001	-1.904345e+002
6.721000e-001	-1.903276e+002
6.864000e-001	-1.902184e+002
7.007000e-001	-1.901066e+002
7.150000e-001	-1.899923e+002
7.293000e-001	-1.898753e+002
7.436000e-001	-1.897554e+002
7.579000e-001	-1.896326e+002
7.722000e-001	-1.895067e+002
7.865000e-001	-1.893776e+002
8.008000e-001	-1.892450e+002
8.151000e-001	-1.891088e+002
8.294000e-001	-1.889689e+002
8.437000e-001	-1.888249e+002
8.580000e-001	-1.886767e+002
8.723000e-001	-1.885238e+002
8.866000e-001	-1.883661e+002
9.009000e-001	-1.882029e+002
9.152000e-001	-1.880338e+002
9.295000e-001	-1.878580e+002
9.438000e-001	-1.876745e+002
9.581000e-001	-1.874819e+002
9.724000e-001	-1.872785e+002
9.867000e-001	-1.870616e+002
1.001000e+000	-1.868274e+002
1.015300e+000	-1.865703e+002
1.029600e+000	-1.862821e+002
1.043900e+000	-1.859497e+002
1.058200e+000	-1.855527e+002
1.072500e+000	-1.850578e+002
1.086800e+000	-1.844098e+002
1.101100e+000	-1.835147e+002
1.115400e+000	-1.822090e+002
1.129700e+000	-1.802016e+002
1.144000e+000	-1.769666e+002
1.158300e+000	-1.715389e+002
1.172600e+000	-1.621346e+002
1.186900e+000	-1.454531e+002
1.201200e+000	-1.154566e+002
1.215500e+000	-6.143882e+001
1.229800e+000	3.441354e+001
1.244100e+000	1.985612e+002
1.258400e+000	4.633285e+002
1.272700e+000	8.584439e+002
1.287000e+000	1.401031e+003
1.301300e+000	2.095093e+003
1.315600e+000	3.167964e+003
1.329900e+000	5.015374e+003
1.344200e+000	6.649259e+004
1.358500e+000	-1.125997e+004
1.372800e+000	-1.137733e+004
1.387100e+000	-1.134156e+004
1.401400e+000	-1.130323e+004
1.415700e+000	-1.126517e+004
1.430000e+000	-1.122735e+004

