#  Printing Current voltage data (input statement at line 80)
#  Simulation date:
#    Mon Jul 10 14:29:05 2023
# Current voltage data
# Bias voltage [V] 	Current density [A/m^2] 
# Current 	 density
0.000000e+000	-1.163090e+002
1.430000e-002	-1.162802e+002
2.860000e-002	-1.162509e+002
4.290000e-002	-1.162212e+002
5.720000e-002	-1.161910e+002
7.150000e-002	-1.161603e+002
8.580000e-002	-1.161292e+002
1.001000e-001	-1.160976e+002
1.144000e-001	-1.160655e+002
1.287000e-001	-1.160329e+002
1.430000e-001	-1.159998e+002
1.573000e-001	-1.159661e+002
1.716000e-001	-1.159319e+002
1.859000e-001	-1.158972e+002
2.002000e-001	-1.158618e+002
2.145000e-001	-1.158259e+002
2.288000e-001	-1.157894e+002
2.431000e-001	-1.157523e+002
2.574000e-001	-1.157146e+002
2.717000e-001	-1.156762e+002
2.860000e-001	-1.156372e+002
3.003000e-001	-1.155975e+002
3.146000e-001	-1.155571e+002
3.289000e-001	-1.155160e+002
3.432000e-001	-1.154741e+002
3.575000e-001	-1.154315e+002
3.718000e-001	-1.153881e+002
3.861000e-001	-1.153440e+002
4.004000e-001	-1.152990e+002
4.147000e-001	-1.152531e+002
4.290000e-001	-1.152064e+002
4.433000e-001	-1.151588e+002
4.576000e-001	-1.151102e+002
4.719000e-001	-1.150607e+002
4.862000e-001	-1.150102e+002
5.005000e-001	-1.149587e+002
5.148000e-001	-1.149060e+002
5.291000e-001	-1.148523e+002
5.434000e-001	-1.147975e+002
5.577000e-001	-1.147414e+002
5.720000e-001	-1.146842e+002
5.863000e-001	-1.146256e+002
6.006000e-001	-1.145656e+002
6.149000e-001	-1.145043e+002
6.292000e-001	-1.144415e+002
6.435000e-001	-1.143770e+002
6.578000e-001	-1.143109e+002
6.721000e-001	-1.142431e+002
6.864000e-001	-1.141732e+002
7.007000e-001	-1.141013e+002
7.150000e-001	-1.140270e+002
7.293000e-001	-1.139500e+002
7.436000e-001	-1.138701e+002
7.579000e-001	-1.137866e+002
7.722000e-001	-1.136991e+002
7.865000e-001	-1.136066e+002
8.008000e-001	-1.135082e+002
8.151000e-001	-1.134022e+002
8.294000e-001	-1.132868e+002
8.437000e-001	-1.131592e+002
8.580000e-001	-1.130155e+002
8.723000e-001	-1.128504e+002
8.866000e-001	-1.126563e+002
9.009000e-001	-1.124220e+002
9.152000e-001	-1.121315e+002
9.295000e-001	-1.117607e+002
9.438000e-001	-1.112736e+002
9.581000e-001	-1.106150e+002
9.724000e-001	-1.096999e+002
9.867000e-001	-1.083947e+002
1.001000e+000	-1.064873e+002
1.015300e+000	-1.036380e+002
1.029600e+000	-9.929711e+001
1.043900e+000	-9.256989e+001
1.058200e+000	-8.199642e+001
1.072500e+000	-6.519932e+001
1.086800e+000	-3.834242e+001
1.101100e+000	4.643109e+000
1.115400e+000	7.302017e+001
1.129700e+000	1.801090e+002
1.144000e+000	3.434026e+002
1.158300e+000	5.827669e+002
1.172600e+000	9.169298e+002
1.186900e+000	1.359683e+003
1.201200e+000	1.916835e+003
1.215500e+000	2.590478e+003
1.229800e+000	4.415620e+003
1.244100e+000	4.024063e+003
1.258400e+000	-1.772590e+005
1.272700e+000	-3.105790e+004
1.287000e+000	-2.930401e+004
1.301300e+000	-2.754212e+004
1.315600e+000	-2.577570e+004
1.329900e+000	-2.400880e+004
1.344200e+000	1.607061e+006
1.358500e+000	1.607071e+006
1.372800e+000	1.607078e+006
1.387100e+000	1.607085e+006
1.401400e+000	1.607092e+006
1.415700e+000	1.607100e+006
1.430000e+000	1.607107e+006

