#  Printing Current voltage data (input statement at line 80)
#  Simulation date:
#    Mon Jul 10 14:24:34 2023
# Current voltage data
# Bias voltage [V] 	Current density [A/m^2] 
# Current 	 density
0.000000e+000	-1.937497e+002
1.430000e-002	-1.937013e+002
2.860000e-002	-1.936521e+002
4.290000e-002	-1.936022e+002
5.720000e-002	-1.935516e+002
7.150000e-002	-1.935002e+002
8.580000e-002	-1.934481e+002
1.001000e-001	-1.933952e+002
1.144000e-001	-1.933415e+002
1.287000e-001	-1.932869e+002
1.430000e-001	-1.932316e+002
1.573000e-001	-1.931754e+002
1.716000e-001	-1.931183e+002
1.859000e-001	-1.930603e+002
2.002000e-001	-1.930014e+002
2.145000e-001	-1.929416e+002
2.288000e-001	-1.928809e+002
2.431000e-001	-1.928191e+002
2.574000e-001	-1.927564e+002
2.717000e-001	-1.926927e+002
2.860000e-001	-1.926279e+002
3.003000e-001	-1.925621e+002
3.146000e-001	-1.924951e+002
3.289000e-001	-1.924271e+002
3.432000e-001	-1.923579e+002
3.575000e-001	-1.922875e+002
3.718000e-001	-1.922159e+002
3.861000e-001	-1.921431e+002
4.004000e-001	-1.920690e+002
4.147000e-001	-1.919936e+002
4.290000e-001	-1.919168e+002
4.433000e-001	-1.918387e+002
4.576000e-001	-1.917592e+002
4.719000e-001	-1.916781e+002
4.862000e-001	-1.915956e+002
5.005000e-001	-1.915116e+002
5.148000e-001	-1.914259e+002
5.291000e-001	-1.913386e+002
5.434000e-001	-1.912495e+002
5.577000e-001	-1.911588e+002
5.720000e-001	-1.910661e+002
5.863000e-001	-1.909716e+002
6.006000e-001	-1.908752e+002
6.149000e-001	-1.907767e+002
6.292000e-001	-1.906761e+002
6.435000e-001	-1.905734e+002
6.578000e-001	-1.904684e+002
6.721000e-001	-1.903610e+002
6.864000e-001	-1.902512e+002
7.007000e-001	-1.901388e+002
7.150000e-001	-1.900237e+002
7.293000e-001	-1.899059e+002
7.436000e-001	-1.897851e+002
7.579000e-001	-1.896613e+002
7.722000e-001	-1.895343e+002
7.865000e-001	-1.894039e+002
8.008000e-001	-1.892699e+002
8.151000e-001	-1.891322e+002
8.294000e-001	-1.889904e+002
8.437000e-001	-1.888444e+002
8.580000e-001	-1.886937e+002
8.723000e-001	-1.885379e+002
8.866000e-001	-1.883765e+002
9.009000e-001	-1.882089e+002
9.152000e-001	-1.880340e+002
9.295000e-001	-1.878506e+002
9.438000e-001	-1.876570e+002
9.581000e-001	-1.874510e+002
9.724000e-001	-1.872290e+002
9.867000e-001	-1.869861e+002
1.001000e+000	-1.867153e+002
1.015300e+000	-1.864055e+002
1.029600e+000	-1.860398e+002
1.043900e+000	-1.855916e+002
1.058200e+000	-1.850176e+002
1.072500e+000	-1.842466e+002
1.086800e+000	-1.831582e+002
1.101100e+000	-1.815453e+002
1.115400e+000	-1.790449e+002
1.129700e+000	-1.750121e+002
1.144000e+000	-1.682884e+002
1.158300e+000	-1.567825e+002
1.172600e+000	-1.367313e+002
1.186900e+000	-1.014682e+002
1.201200e+000	-3.960480e+001
1.215500e+000	6.700483e+001
1.229800e+000	2.440473e+002
1.244100e+000	5.213301e+002
1.258400e+000	9.250769e+002
1.272700e+000	1.469722e+003
1.287000e+000	2.158271e+003
1.301300e+000	3.334491e+003
1.315600e+000	4.438512e+003
1.329900e+000	8.689910e+003
1.344200e+000	-1.114980e+007
1.358500e+000	-1.111174e+007
1.372800e+000	-1.107360e+007
1.387100e+000	-1.103538e+007
1.401400e+000	-1.099707e+007
1.415700e+000	-1.095868e+007
1.430000e+000	-1.092021e+007

