#  Printing Current voltage data (input statement at line 80)
#  Simulation date:
#    Mon Jul 10 14:30:51 2023
# Current voltage data
# Bias voltage [V] 	Current density [A/m^2] 
# Current 	 density
0.000000e+000	-2.908080e+002
1.430000e-002	-2.907361e+002
2.860000e-002	-2.906631e+002
4.290000e-002	-2.905890e+002
5.720000e-002	-2.905138e+002
7.150000e-002	-2.904374e+002
8.580000e-002	-2.903599e+002
1.001000e-001	-2.902811e+002
1.144000e-001	-2.902011e+002
1.287000e-001	-2.901199e+002
1.430000e-001	-2.900373e+002
1.573000e-001	-2.899535e+002
1.716000e-001	-2.898683e+002
1.859000e-001	-2.897817e+002
2.002000e-001	-2.896937e+002
2.145000e-001	-2.896043e+002
2.288000e-001	-2.895133e+002
2.431000e-001	-2.894209e+002
2.574000e-001	-2.893269e+002
2.717000e-001	-2.892313e+002
2.860000e-001	-2.891341e+002
3.003000e-001	-2.890351e+002
3.146000e-001	-2.889345e+002
3.289000e-001	-2.888321e+002
3.432000e-001	-2.887278e+002
3.575000e-001	-2.886217e+002
3.718000e-001	-2.885137e+002
3.861000e-001	-2.884036e+002
4.004000e-001	-2.882915e+002
4.147000e-001	-2.881773e+002
4.290000e-001	-2.880610e+002
4.433000e-001	-2.879424e+002
4.576000e-001	-2.878214e+002
4.719000e-001	-2.876981e+002
4.862000e-001	-2.875723e+002
5.005000e-001	-2.874440e+002
5.148000e-001	-2.873130e+002
5.291000e-001	-2.871792e+002
5.434000e-001	-2.870426e+002
5.577000e-001	-2.869031e+002
5.720000e-001	-2.867604e+002
5.863000e-001	-2.866146e+002
6.006000e-001	-2.864654e+002
6.149000e-001	-2.863128e+002
6.292000e-001	-2.861566e+002
6.435000e-001	-2.859965e+002
6.578000e-001	-2.858324e+002
6.721000e-001	-2.856641e+002
6.864000e-001	-2.854914e+002
7.007000e-001	-2.853139e+002
7.150000e-001	-2.851313e+002
7.293000e-001	-2.849432e+002
7.436000e-001	-2.847490e+002
7.579000e-001	-2.845483e+002
7.722000e-001	-2.843400e+002
7.865000e-001	-2.841233e+002
8.008000e-001	-2.838968e+002
8.151000e-001	-2.836588e+002
8.294000e-001	-2.834070e+002
8.437000e-001	-2.831382e+002
8.580000e-001	-2.828482e+002
8.723000e-001	-2.825313e+002
8.866000e-001	-2.821790e+002
9.009000e-001	-2.817796e+002
9.152000e-001	-2.813161e+002
9.295000e-001	-2.807632e+002
9.438000e-001	-2.800831e+002
9.581000e-001	-2.792184e+002
9.724000e-001	-2.780805e+002
9.867000e-001	-2.765307e+002
1.001000e+000	-2.743495e+002
1.015300e+000	-2.711849e+002
1.029600e+000	-2.664684e+002
1.043900e+000	-2.592754e+002
1.058200e+000	-2.480984e+002
1.072500e+000	-2.304858e+002
1.086800e+000	-2.024878e+002
1.101100e+000	-1.578706e+002
1.115400e+000	-8.715391e+001
1.129700e+000	2.322277e+001
1.144000e+000	1.909312e+002
1.158300e+000	4.358328e+002
1.172600e+000	7.763910e+002
1.186900e+000	1.225992e+003
1.201200e+000	1.790012e+003
1.215500e+000	2.470526e+003
1.229800e+000	4.361261e+003
1.244100e+000	4.201155e+003
1.258400e+000	-3.708201e+005
1.272700e+000	-3.585090e+005
1.287000e+000	-3.396323e+005
1.301300e+000	-3.502023e+005
1.315600e+000	-3.467549e+005
1.329900e+000	-3.502837e+005
1.344200e+000	-3.625019e+005
1.358500e+000	-3.480486e+005
1.372800e+000	-3.686409e+005
1.387100e+000	-3.576223e+005
1.401400e+000	-3.594132e+005
1.415700e+000	-3.275506e+005
1.430000e+000	-3.642867e+005

